trade_name,active_ingredient,strength,dosage_form,drug_class,common_side_effects,serious_warning,similar_active_ingredients,similarity_risk_symptoms,switching_note,interaction_notes,search_aliases
Panadol,Paracetamol (Acetaminophen),500 mg,film-coated tablet,analgesic/antipyretic,غثيان خفيف؛ طفح جلدي نادر,تجاوز الجرعة أو تكرار منتجات paracetamol قد يسبب تسممًا كبديًا خطيرًا,Paracetamol-containing products; cold/flu combinations containing paracetamol,غثيان أو قيء شديد؛ تعرق؛ ألم أعلى البطن؛ اصفرار الجلد/العين,احسب إجمالي جرعة paracetamol اليومية ولا تجمع منتجين يحتويانه,يزيد خطر النزيف مع warfarin عند الاستخدام المنتظم أو المطول؛ الحذر مع الكحول أو أمراض الكبد,panadol; paracetamol acetaminophen; paracetamol; acetaminophen; tylenol
Panadol Extra,Paracetamol + Caffeine,500 mg + 65 mg,film-coated tablet,analgesic/antipyretic + caffeine adjuvant,أرق؛ خفقان؛ عصبية؛ غثيان,خطر تسمم كبدي عند تكرار paracetamol؛ الكافيين قد يزيد الخفقان أو الأرق,Panadol; other paracetamol-containing products; caffeine-containing analgesics,خفقان شديد؛ رعشة؛ أرق شديد؛ غثيان أو قيء جرعة زائدة,احسب إجمالي paracetamol والكافيين قبل التبديل أو الجمع,قلل الكافيين من القهوة/الشاي ومشروبات الطاقة؛ الحذر مع warfarin عند الاستخدام المنتظم,panadol extra; paracetamol + caffeine; paracetamol; caffeine; panadol; extra; paracetamol caffeine; acetaminophen caffeine
Brufen,Ibuprofen,400 mg,sugar-coated tablet,NSAID analgesic/anti-inflammatory,حموضة؛ ألم معدة؛ غثيان؛ دوخة,قد يسبب نزيف أو قرحة معدة ومشاكل كلى/قلب خاصة مع الاستخدام الطويل أو الجرعات العالية,Diclofenac; Naproxen; Ketoprofen; other NSAIDs,براز أسود؛ قيء دموي؛ قلة بول؛ تورم؛ ضيق نفس,لا تجمعه مع NSAID آخر مثل diclofenac أو naproxen إلا بتوجيه طبي,يزيد النزيف مع anticoagulants/antiplatelets؛ الحذر مع ACEI/ARB ومدرات البول والكورتيزون,brufen; ibuprofen; advil; motrin; nurofen
Aspirin,Acetylsalicylic acid (Aspirin),500 mg,tablet,salicylate NSAID analgesic/antipyretic; low-dose aspirin is antiplatelet,حموضة؛ ألم معدة؛ كدمات؛ نزف بسيط,نزيف معدي؛ لا يعطى للأطفال أقل من 16 سنة إلا بتوجيه طبي بسبب خطر Reye syndrome,Other salicylates; NSAIDs; antiplatelets such as clopidogrel,نزيف غير معتاد؛ قيء دموي؛ براز أسود؛ طنين شديد,Aspirin 500 mg ليس بديلًا تلقائيًا لجرعة القلب منخفضة الجرعة؛ لا توقف aspirin القلبي دون طبيب,يزيد النزيف مع warfarin وDOACs وNSAIDs والكورتيزون؛ الحذر مع قرحة المعدة والربو الحساس للأسبرين,aspirin; acetylsalicylic acid aspirin
Amoxil,Amoxicillin,500 mg,capsule,penicillin antibiotic,إسهال؛ غثيان؛ طفح جلدي,حساسية بنسلين شديدة ممكنة؛ إسهال شديد أو دموي بعد المضاد يحتاج تقييمًا,Ampicillin; Amoxicillin/clavulanate,طفح شديد؛ تورم الوجه/اللسان؛ ضيق نفس؛ إسهال شديد مستمر,مضاد حيوي بوصفة؛ أكمل الكورس حسب وصف الطبيب ولا تبدل المضاد دون تقييم العدوى,قد يزيد تأثير methotrexate؛ راقب INR مع warfarin عند بعض المرضى,amoxil; amoxicillin
Augmentin,Amoxicillin + Clavulanic acid,875 mg + 125 mg (1 g tablet),film-coated tablet,penicillin antibiotic + beta-lactamase inhibitor,إسهال؛ ألم بطن؛ غثيان؛ طفح,حساسية بنسلين؛ إسهال شديد مرتبط بالمضادات؛ التهاب كبد دوائي نادر,Amoxicillin; Ampicillin; other co-amoxiclav brands,طفح شديد؛ ضيق نفس؛ إسهال مائي شديد؛ اصفرار الجلد/العين,لا يستبدل دائمًا بـ Amoxil لأن clavulanate يغير التغطية والآثار الجانبية,الحذر مع warfarin ومراقبة INR عند اللزوم؛ قد يزيد تأثير methotrexate,augmentin; amoxicillin + clavulanic acid; amoxicillin; clavulanic acid; co amoxiclav; amoxicillin clavulanic acid; amox clav
Flagyl,Metronidazole,500 mg,tablet,nitroimidazole antibiotic/antiprotozoal,طعم معدني؛ غثيان؛ صداع؛ ألم معدة,تفاعل مزعج مع الكحول؛ اعتلال أعصاب طرفية ممكن مع الاستخدام المطول,Tinidazole; Secnidazole,قيء شديد؛ احمرار؛ خفقان مع الكحول؛ تنميل أو وخز مستمر,تجنب الكحول أثناء العلاج ولمدة 48-72 ساعة بعد آخر جرعة,يزيد INR مع warfarin؛ الحذر مع lithium وdisulfiram وبعض أدوية الصرع,flagyl; metronidazole
Cataflam,Diclofenac potassium,50 mg,tablet,NSAID analgesic/anti-inflammatory,ألم معدة؛ حموضة؛ غثيان؛ دوخة,نزيف أو قرحة معدة؛ مخاطر قلب/كلية خاصة مع الجرعات العالية أو الاستخدام الطويل,Diclofenac sodium; Ibuprofen; Naproxen; other NSAIDs,قيء دموي؛ براز أسود؛ تورم؛ قلة بول؛ ألم صدر,لا تجمع Cataflam مع Voltaren أو Brufen أو أي NSAID آخر,يزيد النزيف مع anticoagulants/antiplatelets؛ الحذر مع ACEI/ARB ومدرات البول والكورتيزون,cataflam; diclofenac potassium
Voltaren,Diclofenac sodium,50 mg,tablet,NSAID analgesic/anti-inflammatory,حموضة؛ ألم معدة؛ غثيان؛ احتباس سوائل,نزيف أو قرحة معدة؛ مخاطر قلب/كلية خاصة مع الجرعات العالية أو الاستخدام الطويل,Diclofenac potassium; Ibuprofen; Naproxen; other NSAIDs,نزيف؛ ضيق نفس؛ تورم؛ قلة بول؛ ألم صدر,تجنب الجمع مع NSAIDs أخرى؛ استخدم أقل مدة ممكنة حسب التوجيه الطبي,يزيد خطر النزيف مع anticoagulants/antiplatelets؛ الحذر مع ACEI/ARB ومدرات البول,voltaren; diclofenac sodium
Concor,Bisoprolol,5 mg,tablet,beta blocker,بطء نبض؛ تعب؛ دوخة؛ برودة أطراف,إيقافه فجأة قد يسبب خفقانًا أو يفاقم الذبحة/الضغط,Metoprolol; Atenolol; Nebivolol,إغماء؛ بطء قلب شديد؛ ضيق نفس؛ دوخة شديدة,التغيير أو الإيقاف يكون تدريجيًا وبخطة طبية,الحذر مع verapamil/diltiazem/digoxin؛ قد يخفي بعض أعراض هبوط السكر,concor; bisoprolol
